KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
1054163,1054183,TS,SSH,5,5-10cm SSH,5-10cm Site-Specific Handling,2,,"[163, 164, 83]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1054183,1054615,TS,FW,5,5-10cm FW,5-10cm Full Width,2,,"[162, 146, 96]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1054615,1054721,TS,FW,15,15cm FW,15cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1054721,1054741,TS,SSH,15,15cm SSH,15cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1054741,1054948,TS,FW,15,15cm FW,15cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1054948,1055268,TS,FW(3-LIFT),15,(15) [35]cm FW(3-LIFT),(15) [35]cm Full Width (3 Lift),2,,"[148, 133, 86]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1055268,1055300,TS,SSH,15,(15) [35]cm SSH,(15) [35]cm Site-Specific Handling,2,,"[131, 136, 68]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1055300,1055505,TS,FW,0,NONE FW,NONE Full Width,2,,"[184, 167, 111]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1055505,1055524,TS,SSH,0,NONE SSH,NONE Site-Specific Handling,2,,"[179, 178, 91]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1055524,1056649,TS,FW,0,NONE FW,NONE Full Width,2,,"[184, 167, 111]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1056649,1056670,TS,SSH,0,NONE SSH,NONE Site-Specific Handling,2,,"[179, 178, 91]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1056670,1056790,TS,FW,15,(15) [35]cm FW,(15) [35]cm Full Width,2,,"[119, 106, 67]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1056790,1056944,TS,FW(3-LIFT),15,(15) [35]cm FW(3-LIFT),(15) [35]cm Full Width (3 Lift),2,,"[148, 133, 86]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
1056944,1057845,TS,FW(3-LIFT),15,(15-20) [30]cm FW(3-LIFT),(15-20) [30]cm Full Width (3 Lift),2,,"[148, 133, 86]",TRUE,11,2021-10-10,Env alignment sheets,Topsoil Handling,2,2,11,15,76.522,386.522
