KP_beg,KP_end,symbol,type_id,value,text_shrt,text_long,set_id,desc,colour,range,category_id,date_created,notes,name,column_id_rec,column_id_con,x1,x2,y1,y2
1045550.24,1045646,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1045646,1045706,PT,ARO,14.7,14.7mm ARO,14.7mm Abrasion-Resistant Overcoat TYPE 6,17,,"[199, 130, 107]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1045706,1045819.42,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1045819.42,1045855.42,PT,ARO,14.7,14.7mm ARO,14.7mm Abrasion-Resistant Overcoat TYPE 6,17,,"[199, 130, 107]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1045855.42,1045956.69,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1045956.69,1045980.69,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1045980.69,1045986.72,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1045986.72,1046011,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1046011,1046101,PT,ARO,19,19.0mm ARO,19.0mm Abrasion-Resistant Overcoat TYPE 8,17,,"[150, 95, 83]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1046101,1046143,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1046143,1046179,PT,ARO,19,19.0mm ARO,19.0mm Abrasion-Resistant Overcoat TYPE 8,17,,"[150, 95, 83]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1046179,1046229.95,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1046229.95,1046235.42,PT,LE,19,19.0mm LE,19.0mm Elbow TYPE 26,17,,"[110, 158, 106]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1046235.42,1046259.42,PT,FBE,19,19.0mm FBE,19.0mm Fusion-Bonded Epoxy TYPE 7,17,,"[89, 141, 120]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1046259.42,1048000,PT,FBE,14.7,14.7mm FBE,14.7mm Fusion-Bonded Epoxy TYPE 5,17,,"[108, 169, 141]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
1048000,1048114,PT,ARO,14.7,14.7mm ARO,14.7mm Abrasion-Resistant Overcoat TYPE 6,17,,"[199, 130, 107]",TRUE,8,2022-05-12,New pipe segementation table,Pipe Segmentation,,3,,,,
