geometry,y,x
POINT Z (-121.0481655234248 49.61757144073631 2.229007804999128e-07),1200.3763427734375,993197.3208276405
POINT Z (-121.0485912971616 49.61730930198481 2.229007804999128e-07),1205.6893310546875,993239.7016686512
POINT Z (-121.0490170708984 49.61704716323332 2.229007804999128e-07),1208.5897216796875,993282.0826241015
POINT Z (-121.0494428446353 49.61678502448184 2.229007804999128e-07),1213.936279296875,993324.4636939897
POINT Z (-121.0498686183721 49.61652288573034 2.229007804999128e-07),1221.1788330078125,993366.844878314
POINT Z (-121.0502943921089 49.61626074697882 2.229007804999128e-07),1224.568359375,993409.2261770706
POINT Z (-121.0507201658457 49.61599860822733 2.229007804999128e-07),1228.3172607421875,993451.6075902575
POINT Z (-121.0511459395825 49.61573646947586 2.229007804999128e-07),1231.943359375,993493.9891178722
POINT Z (-121.0515717133194 49.61547433072434 2.229007804999128e-07),1234.8565673828125,993536.370759915
POINT Z (-121.0519974870562 49.61521219197285 2.229007804999128e-07),1233.630859375,993578.7525163769
POINT Z (-121.052423260793 49.61495005322136 2.229007804999128e-07),1230.670654296875,993621.1343872641
POINT Z (-121.0528490345298 49.61468791446988 2.229007804999128e-07),1228.571533203125,993663.516372568
POINT Z (-121.0532748082667 49.61442577571839 2.229007804999128e-07),1227.3980712890625,993705.8984722886
POINT Z (-121.0537005820035 49.61416363696689 2.229007804999128e-07),1227.265380859375,993748.2806864242
POINT Z (-121.0541263557403 49.61390149821539 2.229007804999128e-07),1227.3917236328125,993790.66301497
POINT Z (-121.0545521294771 49.6136393594639 2.229007804999128e-07),1226.4505615234375,993833.0454578442
POINT Z (-121.0549885995171 49.61339824624351 2.229007804999128e-07),1223.8309326171875,993874.5991585322
POINT Z (-121.0554511781184 49.61320845415288 2.229007804999128e-07),1223.73095703125,993914.1298149427
POINT Z (-121.0559137567196 49.61301866206226 2.229007804999128e-07),1222.37060546875,993953.6605761391
POINT Z (-121.0563763353209 49.61282886997162 2.229007804999128e-07),1223.7105712890625,993993.1914422293
POINT Z (-121.0568389139221 49.61263907788101 2.229007804999128e-07),1221.65869140625,994032.7224132064
POINT Z (-121.0573014925234 49.61244928579036 2.229007804999128e-07),1221.2818603515625,994072.2534890743
POINT Z (-121.0577640711247 49.61225949369974 2.229007804999128e-07),1217.27099609375,994111.7846749722
POINT Z (-121.0582266497259 49.61206970160911 2.229007804999128e-07),1217.5087890625,994151.3159778652
POINT Z (-121.0586821432799 49.61186463446773 2.229007804999128e-07),1216.059814453125,994191.4166924414
POINT Z (-121.0591206389085 49.61162495089863 2.229007804999128e-07),1213.4122314453125,994232.8527054399
POINT Z (-121.0595293926243 49.61134461039456 2.229007804999128e-07),1215.2960205078125,994276.1788052605
POINT Z (-121.059818088481 49.61093637675767 2.229007804999128e-07),1226.9102783203125,994326.1398249822
