geometry,elevation,chainage
POINT (644120.6128750679 5501229.363081656),1125.630615,988361.1002
POINT (644125.2211000379 5501210.526793271),1124.569214,988380.492
POINT (644129.8293523884 5501191.690508698),1123.178833,988399.8837
POINT (644134.4376321195 5501172.854227937),1123.130249,988419.2755
POINT (644139.0459392329 5501154.017950988),1121.91748,988438.6673
POINT (644143.6542737246 5501135.18167785),1123.618774,988458.0591
POINT (644148.2626355966 5501116.345408526),1123.028809,988477.4509
POINT (644152.8710248487 5501097.509143011),1123.233398,988496.8427
POINT (644157.4794414805 5501078.672881309),1126.559448,988516.2345
POINT (644162.0878854922 5501059.83662342),1126.480225,988535.6263
POINT (644166.6963568856 5501041.00036934),1125.879761,988555.018
POINT (644171.3048556566 5501022.164119075),1124.840332,988574.4098
POINT (644175.9133818072 5501003.327872621),1123.68103,988593.8016
POINT (644178.2069857703 5500985.644877417),1122.888062,988612.5894
POINT (644167.6777509849 5500974.349892689),1129.217163,988628.031
POINT (644157.1484716665 5500963.054929401),1135.302246,988643.4726
POINT (644146.6191478166 5500951.759987558),1139.327515,988658.9142
POINT (644136.0897794355 5500940.465067154),1140.61084,988674.3559
POINT (644125.5603665253 5500929.170168194),1140.371948,988689.7975
POINT (644115.0309090822 5500917.875290676),1143.356934,988705.2392
POINT (644104.5014071083 5500906.580434602),1147.896973,988720.6808
POINT (644093.9718606037 5500895.285599967),1151.519775,988736.1224
POINT (644083.4422695686 5500883.990786778),1153.679443,988751.564
POINT (644072.9126340046 5500872.69599503),1154.730347,988767.0057
POINT (644062.3829539085 5500861.401224723),1154.710205,988782.4473
POINT (644051.8532292823 5500850.106475859),1153.729004,988797.889
POINT (644041.3234601259 5500838.81174844),1153.688721,988813.3307
POINT (644030.7936464413 5500827.517042462),1156.120605,988828.7724
POINT (644022.2636461862 5500812.933630292),1160.616211,988845.7556
POINT (644015.8909301518 5500796.107002722),1163.81897,988863.9096
POINT (644012.7123643275 5500777.103050308),1160.849121,988883.2809
POINT (644013.7853463498 5500757.162769072),1162.678833,988903.25
POINT (644014.8583309464 5500737.222488468),1163.641968,988923.2191
POINT (644015.9313181173 5500717.282208495),1165.6698,988943.1882
POINT (644017.0043078625 5500697.341929153),1164.178467,988963.1573
POINT (644017.8340253994 5500677.417006327),1160.679199,988983.1139
POINT (644016.3112876517 5500657.640574644),1159.109375,989002.9488
POINT (644010.7177160544 5500639.980735404),1161.391235,989021.5423
POINT (644003.5674735303 5500623.64904159),1161.950928,989039.4074
POINT (643995.6834173922 5500608.070990545),1161.758667,989056.867
POINT (643987.7993133509 5500592.492952155),1163.669312,989074.3265
POINT (643979.9151614066 5500576.914926425),1166.429321,989091.786
POINT (643972.030961561 5500561.336913351),1167.868896,989109.2456
POINT (643964.1467138111 5500545.758912937),1169.538818,989126.7051
POINT (643970.256502874 5500536.588480116),1167.426392,989141.7208
POINT (643982.671609873 5500530.305118331),1164.587158,989155.6354
POINT (643984.175261907 5500519.02553301),1163.759277,989171.4555
