geometry,elevation,chainage
POINT (634351.7745934587 5495396.985804283),1110.36853,1001317.076
POINT (634339.1915219248 5495392.442121916),1106.708618,1001330.455
POINT (634326.6084303701 5495387.898469073),1102.820313,1001343.833
POINT (634314.0253187947 5495383.354845758),1099.238403,1001357.211
POINT (634301.4421871984 5495378.811251967),1095.233643,1001370.59
POINT (634288.8590355814 5495374.267687703),1090.530518,1001383.968
POINT (634276.2758639457 5495369.724152963),1086.01123,1001397.346
POINT (634263.6926722876 5495365.180647749),1082.431641,1001410.725
POINT (634251.1094606088 5495360.637172061),1079.390991,1001424.103
POINT (634238.5262289094 5495356.093725899),1077.192261,1001437.481
POINT (634225.9429771896 5495351.550309261),1075.149292,1001450.86
POINT (634213.3597054494 5495347.006922152),1072.080933,1001464.238
POINT (634200.6271359065 5495343.605117857),1069.528687,1001477.456
POINT (634187.7757434478 5495341.111906766),1066.951782,1001490.547
POINT (634174.9243404318 5495338.618726272),1063.994751,1001503.638
POINT (634162.0729268603 5495336.125576373),1061.688965,1001516.73
POINT (634149.2215027334 5495333.632457069),1058.709351,1001529.821
POINT (634136.3700680529 5495331.139368361),1056.140747,1001542.912
POINT (634123.5186228151 5495328.646310248),1053.530762,1001556.003
POINT (634110.6671670238 5495326.153282729),1049.900391,1001569.094
POINT (634097.8157006754 5495323.660285805),1046.842285,1001582.185
POINT (634084.9642237715 5495321.167319478),1044.370483,1001595.276
POINT (634072.1127363142 5495318.674383746),1043.470581,1001608.367
POINT (634059.2612382998 5495316.181478607),1043.191772,1001621.458
POINT (634046.4097297302 5495313.688604065),1039.450928,1001634.549
POINT (634033.5582106054 5495311.195760118),1038.706665,1001647.64
POINT (634020.7066809272 5495308.702946766),1041.611206,1001660.731
POINT (634007.855140692 5495306.210164009),1039.063599,1001673.822
POINT (633995.0035899035 5495303.717411847),1036.191528,1001686.913
POINT (633982.1520285581 5495301.22469028),1034.32019,1001700.004
POINT (633969.3004566575 5495298.73199931),1033.360229,1001713.095
POINT (633956.4488742019 5495296.239338933),1033.598267,1001726.186
POINT (633943.5972811932 5495293.746709152),1032.980103,1001739.277
POINT (633930.7456776276 5495291.254109966),1030.660889,1001752.369
POINT (633917.894063509 5495288.761541375),1028.881592,1001765.46
POINT (633905.0424388334 5495286.26900338),1028.038208,1001778.551
POINT (633892.190803603 5495283.77649598),1026.553833,1001791.642
POINT (633879.3391578195 5495281.284019176),1025.519043,1001804.733
POINT (633866.4875014793 5495278.791572966),1025.320923,1001817.824
POINT (633853.6358345842 5495276.299157351),1024.779907,1001830.915
POINT (633840.7841571345 5495273.806772334),1026.422241,1001844.006
POINT (633827.9324691317 5495271.31441791),1023.837585,1001857.097
POINT (633815.0807705724 5495268.822094081),1023.981628,1001870.189
POINT (633802.2732917526 5495265.904331664),1023.412415,1001883.325
POINT (633789.4711579767 5495262.935061608),1022.100769,1001896.467
POINT (633776.6690114057 5495259.965821954),1021.427795,1001909.609
POINT (633763.8668520377 5495256.996612707),1021.241028,1001922.751
POINT (633751.0646798768 5495254.027433862),1020.898621,1001935.893
POINT (633738.262494919 5495251.058285422),1020.906372,1001949.035
POINT (633725.4602971682 5495248.089167385),1020.658386,1001962.177
POINT (633712.6580866206 5495245.120079754),1019.298767,1001975.319
POINT (633699.8558632801 5495242.151022525),1020.090393,1001988.461
POINT (633687.0536271448 5495239.181995703),1017.73999,1002001.603
POINT (633674.221291536 5495236.506767089),1016.290649,1002014.714
POINT (633661.3608828989 5495234.105570323),1015.706421,1002027.797
POINT (633648.5004641357 5495231.704404184),1013.570007,1002040.88
POINT (633635.6400352461 5495229.303268672),1009.573975,1002053.962
POINT (633622.7795962305 5495226.902163788),1009.46106,1002067.045
POINT (633609.919147087 5495224.501089532),1007.698792,1002080.128
POINT (633597.058687821 5495222.100045905),1006.618591,1002093.21
POINT (633584.1982184253 5495219.699032905),1004.986816,1002106.293
POINT (633571.3377389053 5495217.298050532),1002.91864,1002119.376
POINT (633558.4678216465 5495215.003215304),1002.108582,1002132.449
POINT (633545.5855406574 5495212.847471365),1000.75592,1002145.51
POINT (633532.7032507017 5495210.691758134),999.0708008,1002158.572
POINT (633519.8209517794 5495208.536075614),995.9229736,1002171.633
POINT (633506.9386438886 5495206.380423802),995.1983643,1002184.695
POINT (633494.0563270332 5495204.2248027),994.8799438,1002197.756
POINT (633481.1740012113 5495202.069212306),991.8136597,1002210.818
POINT (633468.2916664209 5495199.913652622),989.5820923,1002223.879
POINT (633455.409322666 5495197.758123646),986.8303833,1002236.94
POINT (633442.5269699446 5495195.602625382),985.6762085,1002250.002
POINT (633429.6446082569 5495193.447157825),980.7600098,1002263.063
POINT (633416.7622376007 5495191.291720978),974.9888306,1002276.125
POINT (633403.9252148734 5495188.690188438),972.892334,1002289.232
POINT (633391.1460339712 5495185.519637236),971.572937,1002302.399
POINT (633378.3668393327 5495182.349116347),970.7000122,1002315.566
POINT (633365.5876309545 5495179.17862577),967.9990234,1002328.732
POINT (633352.8084088399 5495176.008165506),966.8982544,1002341.899
POINT (633340.0291729853 5495172.837735554),964.9312134,1002355.066
POINT (633327.249923393 5495169.667335914),962.289856,1002368.232
POINT (633314.4706600645 5495166.496966589),960.1810303,1002381.399
POINT (633301.8639604787 5495162.476982556),958.7918091,1002394.754
POINT (633290.0438816885 5495154.584155977),959.4064331,1002408.967
POINT (633278.2237689442 5495146.691355791),961.387207,1002423.18
POINT (633266.4036222419 5495138.798581992),960.7703857,1002437.393
POINT (633254.851057369 5495130.088140354),959.2837524,1002451.881
POINT (633243.532070072 5495120.663916095),958.581604,1002466.61
POINT (633232.213043489 5495111.239716216),958.1306152,1002481.339
POINT (633220.8939776162 5495101.815540721),956.1731567,1002496.068
POINT (633209.5748724575 5495092.391389609),955.1259766,1002510.796
POINT (633198.2557280113 5495082.96726288),954.1262817,1002525.525
POINT (633186.9365442756 5495073.543160533),953.243042,1002540.254
POINT (633175.6173212545 5495064.119082571),951.5892334,1002554.983
POINT (633164.2980589441 5495054.695028991),952.4738159,1002569.712
POINT (633152.9787573481 5495045.270999794),951.1847534,1002584.44
POINT (633141.6594164635 5495035.84699498),951.0835571,1002599.169
POINT (633130.3400362934 5495026.42301455),950.3687744,1002613.898
POINT (633119.0206168345 5495016.999058502),948.8606567,1002628.627
POINT (633107.7011580906 5495007.575126838),947.3999023,1002643.356
POINT (633096.3816600599 5494998.151219558),945.9425659,1002658.085
POINT (633085.0621227408 5494988.72733666),945.2485352,1002672.814
POINT (633073.7425461368 5494979.303478147),945.1306152,1002687.543
POINT (633062.4229302446 5494969.879644016),943.4387817,1002702.272
POINT (633051.1032750676 5494960.45583427),943.1907349,1002717.001
POINT (633039.7835806026 5494951.032048906),942.4851685,1002731.73
POINT (633028.4638468532 5494941.608287926),941.0604248,1002746.459
POINT (633017.1440738178 5494932.184551329),939.5681152,1002761.188
POINT (633005.8242614943 5494922.760839117),938.5044556,1002775.917
POINT (632994.5044098869 5494913.337151289),937.1668701,1002790.646
POINT (632983.1845189917 5494903.913487843),936.5227051,1002805.375
POINT (632971.8645888127 5494894.489848782),934.6315918,1002820.104
POINT (632960.544619346 5494885.066234104),933.0755615,1002834.833
POINT (632949.2246105957 5494875.642643811),932.0531616,1002849.562
POINT (632937.9045625582 5494866.219077902),931.7253418,1002864.291
POINT (632926.5844752369 5494856.795536376),930.0134888,1002879.02
POINT (632915.2643486306 5494847.372019233),929.4672852,1002893.75
POINT (632903.944182739 5494837.948526475),927.3651733,1002908.479
POINT (632892.6239775604 5494828.525058101),925.453064,1002923.208
POINT (632882.3447254724 5494816.872161647),924.5580444,1002938.866
POINT (632872.8108651733 5494803.622809395),924.2997437,1002955.189
POINT (632863.2769570213 5494790.373474929),920.8309937,1002971.512
POINT (632853.7430010131 5494777.124158248),921.8320923,1002987.835
POINT (632844.2089971503 5494763.874859354),922.2509155,1003004.158
POINT (632836.5293153091 5494748.047272509),922.486145,1003021.763
POINT (632828.9515636377 5494732.077908818),925.1609497,1003039.44
POINT (632821.3737648267 5494716.108556832),926.4663086,1003057.116
POINT (632813.7959188779 5494700.13921656),927.3925781,1003074.792
POINT (632806.2180257898 5494684.169887999),928.5849609,1003092.468
POINT (632798.6400855607 5494668.200571147),928.7814941,1003110.144
POINT (632791.0620981926 5494652.231266007),928.3823242,1003127.82
POINT (632783.4840636856 5494636.261972579),931.819397,1003145.496
POINT (632775.9059820417 5494620.292690862),933.5767822,1003163.172
POINT (632768.3278532573 5494604.323420855),935.809082,1003180.848
POINT (632762.553253459 5494586.66420992),934.173584,1003199.446
POINT (632757.0150949711 5494568.78342235),934.4933472,1003218.165
POINT (632751.4768964198 5494550.902641524),932.8207397,1003236.884
POINT (632745.9386578074 5494533.02186744),932.7692261,1003255.603
POINT (632740.4003791357 5494515.141100099),936.4541016,1003274.322
POINT (632734.8620604014 5494497.2603395),937.9626465,1003293.04
POINT (632729.323701608 5494479.379585644),935.7814331,1003311.759
POINT (632723.7853027524 5494461.498838534),936.8322144,1003330.478
POINT (632718.2468638379 5494443.618098163),938.9885864,1003349.197
POINT (632712.7083848614 5494425.737364537),940.713562,1003367.916
POINT (632704.2648912696 5494410.947897423),939.182373,1003384.997
POINT (632695.4915034279 5494396.509443148),939.4633789,1003401.892
POINT (632686.7180670967 5494382.071004145),938.1789551,1003418.787
POINT (632677.9445822763 5494367.632580414),937.8930054,1003435.682
POINT (632669.1710489687 5494353.194171956),936.7409668,1003452.577
POINT (632660.3974671704 5494338.755778773),937.1126099,1003469.472
POINT (632651.6238368832 5494324.31740086),935.4407959,1003486.367
POINT (632642.8501581076 5494309.879038222),934.7122192,1003503.262
POINT (632634.0764308434 5494295.440690855),934.3442383,1003520.157
POINT (632625.3026550927 5494281.002358763),933.4420166,1003537.052
POINT (632616.5288308521 5494266.564041943),932.597168,1003553.947
POINT (632607.7549581234 5494252.125740398),932.980957,1003570.842
POINT (632598.9810369069 5494237.687454125),931.755188,1003587.738
POINT (632589.7123115147 5494224.015935199),929.6506348,1003604.263
POINT (632580.2458432418 5494210.650812857),929.6508179,1003620.641
POINT (632570.7793270041 5494197.285708065),928.0509644,1003637.019
POINT (632559.8361639907 5494187.494518573),926.1109619,1003652.025
POINT (632547.8149240147 5494180.312602326),923.6893921,1003666.028
POINT (632535.7936528169 5494173.13071328),918.8701782,1003680.031
POINT (632524.894663399 5494162.809801706),916.3639526,1003695.148
POINT (632514.3614857865 5494151.465635914),915.4522095,1003710.629
POINT (632503.8282635657 5494140.121491478),914.3217773,1003726.109
POINT (632493.2949967422 5494128.777368397),913.2806396,1003741.589
POINT (632482.7616853141 5494117.433266671),912.1604004,1003757.069
POINT (632472.2283292819 5494106.089186301),911.0487671,1003772.55
POINT (632461.6949286455 5494094.745127287),910.2297974,1003788.03
POINT (632451.161483405 5494083.401089627),908.552002,1003803.51
POINT (632440.6279935606 5494072.057073324),908.1591797,1003818.991
POINT (632430.0944591124 5494060.713078376),908.2114258,1003834.471
POINT (632420.1742872207 5494048.197318805),906.0316162,1003850.47
POINT (632410.6359151364 5494034.952138898),904.9400024,1003866.793
POINT (632401.097495205 5494021.706976784),905.2112427,1003883.115
POINT (632391.5590274318 5494008.461832467),904.5231934,1003899.437
POINT (632382.0205118151 5493995.216705944),903.0820313,1003915.759
POINT (632373.8079540982 5493980.102027854),899.8920288,1003933.008
POINT (632366.0815295603 5493964.301884115),897.9818115,1003950.596
POINT (632358.355057593 5493948.5017525),897.0112305,1003968.184
POINT (632350.6285382003 5493932.701633008),897.4212036,1003985.772
POINT (632342.9019713786 5493916.901525637),896.0637817,1004003.36
POINT (632335.1753571299 5493901.101430392),895.8099976,1004020.949
POINT (632331.1588664268 5493882.291261376),897.2706299,1004040.206
POINT (632327.3108210034 5493863.34441002),898.4705811,1004059.54
POINT (632323.4627445308 5493844.397562374),897.9056396,1004078.874
POINT (632319.6146370053 5493825.450718443),900.5810547,1004098.207
POINT (632315.7664984287 5493806.503878223),902.7321777,1004117.541
POINT (632311.9183288014 5493787.557041716),902.2049561,1004136.875
POINT (632305.2211076526 5493770.992049678),900.5409546,1004154.895
POINT (632297.2308402527 5493755.508045),894.9903564,1004172.319
POINT (632289.2405249776 5493740.024053206),892.213623,1004189.743
POINT (632281.2501618313 5493724.54007429),891.4298096,1004207.167
POINT (632273.2597508101 5493709.056108254),892.8026123,1004224.591
POINT (632265.2692919178 5493693.572155101),890.6882324,1004242.015
POINT (632257.2787851511 5493678.088214827),888.5100098,1004259.44
POINT (632249.2882305118 5493662.604287436),890.1206055,1004276.864
POINT (632241.297628002 5493647.120372924),890.121582,1004294.288
POINT (632233.3069776183 5493631.636471294),889.7000122,1004311.712
POINT (632226.3672413003 5493615.000309704),890.609375,1004329.747
POINT (632219.5936771751 5493598.181917529),888.0717773,1004347.878
POINT (632212.8200681126 5493581.363534928),886.5698242,1004366.009
POINT (632206.0464141183 5493564.545161908),886.8226318,1004384.14
POINT (632199.2727151848 5493547.726798461),887.0117798,1004402.271
POINT (632192.498971318 5493530.908444594),887.2700195,1004420.403
POINT (632185.7251825164 5493514.090100302),889.5187988,1004438.534
POINT (632178.9513487779 5493497.271765589),890.8515625,1004456.665
POINT (632172.1774701084 5493480.453440454),890.3320313,1004474.796
POINT (632165.4035465007 5493463.635124894),888.1828003,1004492.928
POINT (632156.8173517853 5493449.116484571),886.3804321,1004509.888
POINT (632147.4376374525 5493435.604754698),885.0814209,1004526.337
POINT (632138.0578750311 5493422.093042077),882.3828125,1004542.785
POINT (632128.5533797765 5493408.856541983),881.4406128,1004559.121
POINT (632116.9439934231 5493400.265736424),878.4004517,1004573.563
POINT (632105.3345705839 5493391.674956387),877.9492188,1004588.006
POINT (632093.7251112607 5493383.084201872),878.5383911,1004602.448
POINT (632082.1156154533 5493374.49347288),879.4103394,1004616.89
POINT (632070.5060831641 5493365.90276941),880.9091797,1004631.333
POINT (632058.8965143892 5493357.312091461),880.2609863,1004645.775
POINT (632047.2869091325 5493348.721439036),878.7231445,1004660.217
POINT (632035.6772673903 5493340.130812131),875.0006104,1004674.66
POINT (632024.0675891646 5493331.54021075),871.0617676,1004689.102
POINT (632012.4578744574 5493322.949634892),867.8822021,1004703.545
POINT (632000.8481232647 5493314.359084555),865.2714233,1004717.987
POINT (631989.2383355889 5493305.768559741),863.3933716,1004732.429
POINT (631977.62851143 5493297.178060449),862.517395,1004746.872
POINT (631966.0186507897 5493288.58758668),861.3549805,1004761.314
POINT (631955.2089442423 5493278.19378745),860.9317627,1004776.485
POINT (631945.6519518771 5493264.976726815),861.1030884,1004792.795
POINT (631936.0949117062 5493251.759684031),861.7110596,1004809.106
POINT (631926.5378237264 5493238.542659099),869.8746948,1004825.416
POINT (631916.9806879396 5493225.325652022),870.5490112,1004841.726
POINT (631907.4235043459 5493212.108662796),869.618042,1004858.037
POINT (631897.8662729454 5493198.891691421),866.3598022,1004874.347
POINT (631888.3089937401 5493185.6747379),865.2976685,1004890.657
POINT (631878.7516667247 5493172.45780223),862.4450684,1004906.968
POINT (631869.1942919067 5493159.240884413),860.5366821,1004923.278
POINT (631859.6368692806 5493146.02398445),860.4005737,1004939.589
POINT (631850.0793988483 5493132.807102339),860.2710571,1004955.899
POINT (631841.3522928458 5493118.398117324),857.8773804,1004972.797
POINT (631833.4518681613 5493102.802312952),858.4435425,1004990.28
POINT (631825.8042862499 5493086.909351504),860.1051636,1005007.918
POINT (631818.2007282253 5493070.964614286),859.5899048,1005025.583
POINT (631810.5971230357 5493055.01988884),858.5678711,1005043.248
POINT (631802.9934706815 5493039.075175167),860.0699463,1005060.912
POINT (631795.3897711628 5493023.130473265),859.0791626,1005078.577
POINT (631787.7860244797 5493007.185783137),858.9169922,1005096.242
POINT (631780.1822306323 5492991.241104779),857.6792603,1005113.907
POINT (631772.578389621 5492975.296438195),857.5523682,1005131.572
POINT (631764.9745014459 5492959.351783382),857.2319946,1005149.237
POINT (631757.3705661069 5492943.407140343),856.5749512,1005166.902
POINT (631749.7665836043 5492927.462509078),856.7681274,1005184.567
POINT (631742.1625539402 5492911.517889583),856.890564,1005202.232
POINT (631734.558477111 5492895.573281861),856.3601685,1005219.897
POINT (631726.9543531188 5492879.628685913),855.6398926,1005237.562
POINT (631720.688372851 5492862.345221575),855.5026245,1005255.949
POINT (631714.4691774589 5492845.014913537),855.3667603,1005274.362
POINT (631708.2499391396 5492827.684613733),855.048584,1005292.774
POINT (631702.0306578933 5492810.354322165),855.0032959,1005311.187
POINT (631695.8113337203 5492793.024038832),855.770813,1005329.599
POINT (631689.5919666206 5492775.693763735),855.8582153,1005348.012
POINT (631683.3725565944 5492758.363496872),857.1498413,1005366.424
POINT (631677.3087524422 5492740.904364652),857.7436523,1005384.908
POINT (631671.5853120941 5492723.163392203),857.1629639,1005403.55
POINT (631665.8618308904 5492705.422426879),857.472229,1005422.191
POINT (631660.138308835 5492687.681468686),856.7709961,1005440.832
POINT (631654.4147459263 5492669.940517618),854.8817139,1005459.474
POINT (631648.6911421623 5492652.199573679),856.3895874,1005478.115
POINT (631642.9674975473 5492634.458636866),857.4220581,1005496.757
POINT (631637.2438120773 5492616.71770718),858.9362183,1005515.398
POINT (631631.5200857564 5492598.976784623),858.7910156,1005534.039
POINT (631625.7963185827 5492581.235869195),858.2108154,1005552.681
POINT (631619.971071012 5492563.579017965),857.3106079,1005571.275
POINT (631613.7432779548 5492546.255705763),856.6936035,1005589.684
POINT (631607.5154419421 5492528.932401815),854.7919312,1005608.093
POINT (631601.2875629725 5492511.609106121),852.9443359,1005626.502
POINT (631595.0596410497 5492494.285818681),852.0215454,1005644.91
POINT (631588.8316761701 5492476.962539495),851.1102295,1005663.319
POINT (631582.6036683377 5492459.639268562),849.951416,1005681.728
POINT (631576.3756175488 5492442.316005885),847.2186279,1005700.137
POINT (631570.1475238074 5492424.99275146),846.5496216,1005718.546
POINT (631563.9193871097 5492407.669505289),846.4307251,1005736.954
POINT (631557.6912074598 5492390.346267371),846.8031616,1005755.363
POINT (631551.4629848558 5492373.02303771),847.0845947,1005773.772
POINT (631545.2347192961 5492355.699816302),845.7706299,1005792.181
POINT (631539.0064107847 5492338.376603147),845.9846191,1005810.59
POINT (631532.7780593177 5492321.053398248),844.4610596,1005828.999
POINT (631526.5496648994 5492303.730201602),842.3491211,1005847.407
POINT (631522.2300624113 5492285.039801926),840.2834473,1005866.592
POINT (631517.9285920922 5492266.336395325),838.4698486,1005885.783
POINT (631513.6270881331 5492247.632993143),837.5066528,1005904.975
POINT (631509.3255505357 5492228.929595386),836.9329834,1005924.167
POINT (631505.0239793003 5492210.226202051),835.4038696,1005943.358
POINT (631500.7223744269 5492191.522813139),834.659729,1005962.55
POINT (631496.4207359175 5492172.819428649),833.3571167,1005981.742
POINT (631492.1190637685 5492154.116048583),832.8450928,1006000.934
POINT (631487.817357982 5492135.412672939),834.7183228,1006020.125
POINT (631483.515618558 5492116.709301717),835.3500977,1006039.317
POINT (631479.2138454968 5492098.005934918),834.3966064,1006058.509
POINT (631474.9120387982 5492079.302572542),833.7555542,1006077.7
POINT (631470.6101984644 5492060.599214589),831.3493042,1006096.892
POINT (631465.1828678021 5492042.640210286),829.5526123,1006115.657
POINT (631459.6540826167 5492024.74828586),824.0910645,1006134.384
POINT (631454.1252574737 5492006.856368147),822.8597412,1006153.11
POINT (631448.9385636026 5491988.741043378),822.4766846,1006171.965
POINT (631445.5310542267 5491969.927039436),821.3833008,1006191.231
POINT (631449.3091586211 5491950.69458854),825.9390869,1006210.831
POINT (631453.0872853068 5491931.462140339),833.6181641,1006230.431
POINT (631456.0347514257 5491912.604844435),838.5128784,1006249.826
POINT (631446.4677881738 5491899.399268071),838.3069458,1006266.133
POINT (631436.9007771395 5491886.193709584),834.0757446,1006282.44
POINT (631427.3337183191 5491872.988168974),827.0814209,1006298.747
POINT (631417.7666117165 5491859.782646242),826.62146,1006315.054
POINT (631408.1994573299 5491846.577141385),826.1724854,1006331.361
POINT (631398.6322551596 5491833.371654406),822.1624146,1006347.668
POINT (631389.0650052037 5491820.166185305),828.4943848,1006363.975
POINT (631379.4977074662 5491806.960734081),826.4960938,1006380.282
POINT (631369.9303619436 5491793.755300733),823.213562,1006396.589
POINT (631360.3629686396 5491780.549885264),821.1582642,1006412.896
POINT (631350.7955275525 5491767.344487671),819.5721436,1006429.203
POINT (631341.3323304616 5491753.967404598),818.3789063,1006445.591
POINT (631332.0728367604 5491740.254887425),817.888855,1006462.137
POINT (631322.8132948361 5491726.542387088),817.1584473,1006478.683
POINT (631313.5537046888 5491712.829903587),815.1604004,1006495.229
POINT (631304.2940663185 5491699.117436923),815.0097046,1006511.775
POINT (631295.0343797257 5491685.404987094),814.4202881,1006528.321
POINT (631285.7746449102 5491671.692554101),814.3994141,1006544.867
POINT (631276.5148618724 5491657.980137944),813.2709961,1006561.413
POINT (631269.5989372126 5491641.915994651),816.0023804,1006579.207
POINT (631265.3358066869 5491623.190157222),815.1560059,1006598.412
POINT (631261.0726427532 5491604.464324151),814.0482788,1006617.617
POINT (631256.8094454099 5491585.738495436),814.1610107,1006636.822
POINT (631252.5462146606 5491567.012671082),815.7393188,1006656.027
POINT (631248.2829505038 5491548.286851086),816.6780396,1006675.232
POINT (631244.0196529393 5491529.561035447),819.4177246,1006694.436
POINT (631239.0591213803 5491511.39808243),820.0697632,1006713.328
POINT (631231.720498921 5491495.154965264),817.5217896,1006731.152
POINT (631224.3818299322 5491478.911859135),815.0734253,1006748.976
POINT (631217.0431144123 5491462.668764044),811.3114014,1006766.8
POINT (631209.7043523652 5491446.425679989),809.842041,1006784.624
POINT (631202.3655437871 5491430.182606973),808.9931641,1006802.448
POINT (631195.0266886821 5491413.939544995),808.6004028,1006820.272
POINT (631187.6877870468 5491397.696494053),805.9312134,1006838.096
POINT (631180.3488388846 5491381.453454152),806.722168,1006855.92
POINT (631173.0098441942 5491365.210425285),806.3513794,1006873.745
POINT (631165.6708029737 5491348.967407459),805.9677734,1006891.569
POINT (631158.3317152251 5491332.724400669),806.4821777,1006909.393
POINT (631150.9925809505 5491316.481404918),805.6986084,1006927.217
POINT (631143.6534001483 5491300.238420205),805.4125366,1006945.041
POINT (631136.3141728166 5491283.995446529),804.1209717,1006962.865
POINT (631131.6837685513 5491266.627935033),804.461792,1006981.343
POINT (631133.1364345847 5491246.735122259),807.3621826,1007001.289
POINT (631134.5891064468 5491226.842310264),809.2730103,1007021.234
POINT (631129.5458580183 5491208.754506109),807.4622192,1007040.077
POINT (631124.1451925712 5491190.766012239),807.0606079,1007058.858
POINT (631118.7444877799 5491172.777524818),807.7698364,1007077.64
POINT (631112.732977702 5491155.304579106),808.1900024,1007096.136
POINT (631106.0101679454 5491138.431999268),807.4693604,1007114.299
POINT (631099.2873134667 5491121.559428868),808.2006226,1007132.461
POINT (631092.5644142656 5491104.686867905),808.4404297,1007150.624
POINT (631085.8414703407 5491087.814316384),807.8994141,1007168.786
POINT (631079.118481696 5491070.941774299),807.4508057,1007186.949
POINT (631071.8579894295 5491054.775382165),807.2215576,1007204.757
POINT (631062.1177314636 5491041.866984705),804.6011963,1007220.928
POINT (631052.3774260741 5491028.958605716),801.9193726,1007237.099
POINT (631042.6370732592 5491016.050245197),798.7315674,1007253.27
POINT (631032.8966730188 5491003.141903147),796.7012329,1007269.441
POINT (631023.1562253535 5490990.233579569),795.1109619,1007285.612
POINT (631013.415730263 5490977.325274458),793.5012207,1007301.783
POINT (631003.6751877477 5490964.416987818),791.711792,1007317.954
POINT (630996.6998361185 5490947.860025117),791.579834,1007335.956
POINT (630989.9284971608 5490931.03382099),791.2911987,1007354.094
POINT (630983.1571133269 5490914.207626421),789.6921997,1007372.231
POINT (630976.3856846136 5490897.381441411),787.6607666,1007390.369
POINT (630969.6142110243 5490880.555265957),786.9298096,1007408.507
POINT (630962.8426925556 5490863.729100065),787.0800171,1007426.644
POINT (630956.0711292116 5490846.902943731),785.770813,1007444.782
POINT (630949.2995209884 5490830.076796958),785.9995728,1007462.92
POINT (630942.5278678901 5490813.250659741),786.9204102,1007481.057
POINT (630937.8034870252 5490794.82807581),787.8292236,1007500.089
POINT (630933.2530840685 5490776.269804882),786.7407837,1007519.197
POINT (630928.7026461243 5490757.711538797),784.8084106,1007538.305
POINT (630924.1521731926 5490739.153277555),783.6323853,1007557.413
POINT (630919.6016652737 5490720.595021151),783.4221802,1007576.521
POINT (630915.0511223695 5490702.036769588),783.4400024,1007595.629
POINT (630910.5005444763 5490683.478522872),783.7109985,1007614.737
POINT (630905.9499315945 5490664.920280992),783.0001831,1007633.845
POINT (630901.3992837279 5490646.362043956),782.0106201,1007652.953
POINT (630896.8486008744 5490627.803811762),780.7022095,1007672.061
POINT (630892.2978830346 5490609.245584407),779.8326416,1007691.169
POINT (630887.7471302082 5490590.687361895),780.6309814,1007710.277
POINT (630883.1963423957 5490572.129144226),780.4907837,1007729.385
POINT (630878.6455195971 5490553.570931397),779.7817993,1007748.493
POINT (630874.0946618124 5490535.01272341),777.4315796,1007767.601
POINT (630869.543769042 5490516.454520265),777.1425781,1007786.709
POINT (630864.9928412875 5490497.896321962),776.0507813,1007805.818
POINT (630860.4421641557 5490479.337955264),775.53125,1007824.926
POINT (630855.8915416222 5490460.779539073),774.9907837,1007844.034
POINT (630851.3408841036 5490442.221127726),775.3198242,1007863.142
POINT (630846.7901916037 5490423.662721219),775.6599731,1007882.25
POINT (630842.2394641188 5490405.104319554),775.9101563,1007901.358
POINT (630837.6887016528 5490386.545922728),773.5529785,1007920.467
POINT (630831.2833237558 5490372.273985635),770.5922241,1007938.241
POINT (630818.2852406577 5490373.239634422),767.0922241,1007951.275
POINT (630805.2871634408 5490374.205314157),766.4193726,1007964.309
POINT (630792.2890921069 5490375.171024838),765.9799805,1007977.343
POINT (630779.2910266524 5490376.136766466),764.7398071,1007990.377
POINT (630766.2929670793 5490377.102539044),764.3587646,1008003.411
POINT (630753.2949133893 5490378.068342568),763.7982178,1008016.445
POINT (630740.2968655786 5490379.034177041),765.5979614,1008029.479
POINT (630727.2988236494 5490380.000042462),763.2423706,1008042.512
POINT (630714.3007876015 5490380.96593883),755.0533447,1008055.546
POINT (630701.3027574369 5490381.931866144),755.6098022,1008068.58
POINT (630688.3047331517 5490382.897824408),756.2897949,1008081.614
POINT (630675.3067147479 5490383.863813619),754.7514038,1008094.648
POINT (630662.3087022275 5490384.829833777),752.9008179,1008107.682
POINT (630649.3106955867 5490385.795884883),752.4785767,1008120.716
POINT (630636.3126948273 5490386.761966935),751.5910034,1008133.749
POINT (630623.3146999495 5490387.728079937),750.4299927,1008146.783
POINT (630610.3167109551 5490388.694223885),745.8631592,1008159.817
POINT (630597.3187278402 5490389.660398782),740.9609985,1008172.851
POINT (630584.3207506069 5490390.626604625),738.7628174,1008185.885
POINT (630571.3227792553 5490391.592841418),735.3699951,1008198.919
POINT (630558.3248137871 5490392.559109157),738.9683838,1008211.952
POINT (630545.3268541987 5490393.525407842),741.7293701,1008224.986
POINT (630532.8910939539 5490393.413675326),745.1801758,1008239.148
POINT (630530.6111086555 5490373.827229197),744.4478149,1008273.69
POINT (630528.3311023933 5490354.240784863),746.0368042,1008304.7
POINT (630526.0510751661 5490334.654342326),745.5385742,1008324.418
POINT (630523.7710269754 5490315.067901585),743.5979614,1008344.137
POINT (630521.4909578231 5490295.48146264),743.5,1008363.856
POINT (630519.2108677059 5490275.895025492),745.3887939,1008383.574
POINT (630516.9307566273 5490256.308590139),746.75,1008403.293
POINT (630514.6506245839 5490236.722156582),747.5884399,1008423.012
POINT (630512.3704715774 5490217.135724822),750.6668091,1008442.73
POINT (630510.0902976098 5490197.549294859),749.46875,1008462.449
POINT (630507.8101026776 5490177.962866691),747.8287964,1008482.168
POINT (630505.5298867825 5490158.37644032),745.6986084,1008501.887
