X,Y,Z,Distance (meters)
596188.4709,5454456.167,62.12264633,7.993753854
596188.5191,5454456.161,62.12335587,8.042795289
596188.5674,5454456.154,62.12759018,8.091836724
596188.6157,5454456.147,62.12805176,8.140878159
596188.664,5454456.14,62.12882996,8.189919593
596188.7123,5454456.133,62.12966537,8.238961028
596188.7605,5454456.126,62.13030243,8.288002463
596188.8088,5454456.119,62.13116837,8.337043897
596188.8571,5454456.112,62.13185883,8.386085332
596188.9054,5454456.105,62.13578415,8.435126767
596188.9537,5454456.098,62.13661194,8.484168201
596189.0019,5454456.091,62.13750839,8.533209636
596189.0502,5454456.084,62.13884354,8.582251071
596189.0985,5454456.077,62.1397934,8.631292505
596189.1468,5454456.07,62.1411705,8.68033394
596189.1951,5454456.063,62.14316559,8.729375375
596189.2433,5454456.056,62.14923477,8.77841681
596189.2916,5454456.049,62.15187073,8.827458244
596189.3399,5454456.042,62.15414429,8.876499679
596189.3882,5454456.035,62.15581894,8.925541114
596189.4365,5454456.028,62.15858459,8.974582548
596189.4847,5454456.021,62.16065598,9.023623983
596189.533,5454456.014,62.16309738,9.072665418
596189.5813,5454456.007,62.17111206,9.121706852
596189.6296,5454456,62.17111206,9.170748287
596189.6779,5454455.993,62.17347336,9.219789722
596189.7261,5454455.986,62.17600632,9.268831156
596189.7744,5454455.979,62.17945099,9.317872591
596189.8227,5454455.972,62.18182755,9.366914026
596189.871,5454455.965,62.18575668,9.415955461
596189.9193,5454455.959,62.19488525,9.464996895
596189.9675,5454455.952,62.19891739,9.51403833
596190.0158,5454455.945,62.2075386,9.563079765
596190.0641,5454455.938,62.2116394,9.612121199
596190.1124,5454455.931,62.21583557,9.661162634
596190.1607,5454455.924,62.2202301,9.710204069
596190.2089,5454455.917,62.22476196,9.759245503
596190.2572,5454455.91,62.23367691,9.808286938
596190.3055,5454455.903,62.23755646,9.857328373
596190.3538,5454455.896,62.24061966,9.906369807
596190.4021,5454455.889,62.24544907,9.955411242
596190.4503,5454455.882,62.2477951,10.00445268
596190.4986,5454455.875,62.25136566,10.05349411
596190.5469,5454455.868,62.25495529,10.10253555
596190.5952,5454455.861,62.26380539,10.15157698
596190.6435,5454455.854,62.26678848,10.20061842
596190.6917,5454455.847,62.27051544,10.24965985
596190.74,5454455.84,62.27488708,10.29870128
596190.7883,5454455.833,62.27840805,10.34774272
596190.8366,5454455.826,62.27840805,10.39678415
596190.8849,5454455.819,62.28328323,10.44582559
596190.9331,5454455.812,62.29446411,10.49486702
596190.9814,5454455.805,62.29921341,10.54390846
596191.0297,5454455.798,62.30284119,10.59294989
596191.078,5454455.791,62.30643845,10.64199133
596191.1263,5454455.784,62.31174088,10.69103276
596191.1745,5454455.777,62.3157196,10.7400742
596191.2228,5454455.77,62.32120895,10.78911563
596191.2711,5454455.763,62.33563995,10.83815707
596191.3194,5454455.757,62.33982086,10.8871985
596191.3677,5454455.75,62.3430481,10.93623994
596191.4159,5454455.743,62.34656143,10.98528137
596191.4642,5454455.736,62.35055923,11.03432281
596191.5125,5454455.729,62.35429764,11.08336424
596191.5608,5454455.722,62.35694504,11.13240567
596191.6091,5454455.715,62.3605957,11.18144711
596191.6573,5454455.708,62.37145996,11.23048854
596191.7056,5454455.701,62.37438202,11.27952998
596191.7539,5454455.694,62.37729263,11.32857141
596191.8022,5454455.687,62.37934113,11.37761285
596191.8505,5454455.68,62.3828392,11.42665428
596191.8987,5454455.673,62.38640213,11.47569572
596191.947,5454455.666,62.3897934,11.52473715
596191.9953,5454455.659,62.40044785,11.57377859
596192.0436,5454455.652,62.40280151,11.62282002
596192.0919,5454455.645,62.40779495,11.67186146
596192.1401,5454455.638,62.41127014,11.72090289
596192.1884,5454455.631,62.41515732,11.76994433
596192.2367,5454455.624,62.42008209,11.81898576
596192.285,5454455.617,62.42606354,11.8680272
596192.3333,5454455.61,62.43750381,11.91706863
596192.3815,5454455.603,62.44354248,11.96611006
596192.4298,5454455.596,62.44990921,12.0151515
596192.4781,5454455.589,62.45759201,12.06419293
596192.5264,5454455.582,62.46237946,12.11323437
596192.5747,5454455.575,62.46840286,12.1622758
596192.6229,5454455.568,62.4744873,12.21131724
596192.6712,5454455.561,62.48602676,12.26035867
596192.7195,5454455.555,62.48999786,12.30940011
596192.7678,5454455.548,62.49369812,12.35844154
596192.8161,5454455.541,62.49798203,12.40748298
596192.8643,5454455.534,62.50188828,12.45652441
596192.9126,5454455.527,62.50542831,12.50556585
596192.9609,5454455.52,62.51021957,12.55460728
596193.0092,5454455.513,62.52287292,12.60364872
596193.0575,5454455.506,62.5245285,12.65269015
596193.1057,5454455.499,62.52747345,12.70173158
